"date","winter_season","min_temp","temperature_band","reserve_target_pct","observed_capacity","observed_occupancy","observed_spare","observed_spare_pct","minimum_capacity_for_target","additional_spaces_needed"
2024-01-04,"2023-24",-5.7,"-10 to -5 C",2,177,177,0,0,181,4
2024-01-14,"2023-24",-11.1,"-15 to -10 C",2,177,176,1,0.564971751412429,180,3
2024-01-15,"2023-24",-12.3,"-15 to -10 C",2,177,177,0,0,181,4
2024-01-16,"2023-24",-12.7,"-15 to -10 C",2,207,205,2,0.966183574879227,210,3
2024-01-17,"2023-24",-14.1,"-15 to -10 C",2,207,204,3,1.44927536231884,209,2
2024-01-18,"2023-24",-6.8,"-10 to -5 C",2,207,201,6,2.89855072463768,206,0
2024-01-19,"2023-24",-13.6,"-15 to -10 C",2,207,204,3,1.44927536231884,209,2
2024-01-20,"2023-24",-14.1,"-15 to -10 C",2,207,207,0,0,212,5
2024-01-21,"2023-24",-10.1,"-15 to -10 C",2,207,197,10,4.83091787439614,202,0
2024-02-13,"2023-24",-6.1,"-10 to -5 C",2,176,154,22,12.5,158,0
2024-02-14,"2023-24",-6.8,"-10 to -5 C",2,177,177,0,0,181,4
2024-02-17,"2023-24",-6.8,"-10 to -5 C",2,177,175,2,1.12994350282486,179,2
2024-02-18,"2023-24",-6.4,"-10 to -5 C",2,177,175,2,1.12994350282486,179,2
2024-02-19,"2023-24",-9,"-10 to -5 C",2,177,175,2,1.12994350282486,179,2
2024-02-23,"2023-24",-9.2,"-10 to -5 C",2,207,206,1,0.483091787439614,211,4
2024-02-24,"2023-24",-11.7,"-15 to -10 C",2,201,201,0,0,206,5
2024-02-28,"2023-24",-5.2,"-10 to -5 C",2,186,186,0,0,190,4
2024-02-29,"2023-24",-5.9,"-10 to -5 C",2,179,175,4,2.23463687150838,179,0
2024-03-21,"2023-24",-5.6,"-10 to -5 C",2,221,218,3,1.35746606334842,223,2
2024-03-22,"2023-24",-5,"-10 to -5 C",2,222,219,3,1.35135135135135,224,2
2024-03-23,"2023-24",-6.3,"-10 to -5 C",2,222,221,1,0.45045045045045,226,4
2024-12-05,"2024-25",-5.4,"-10 to -5 C",2,72,70,2,2.77777777777778,72,0
2024-12-06,"2024-25",-6.6,"-10 to -5 C",2,72,57,15,20.8333333333333,59,0
2024-12-12,"2024-25",-7.3,"-10 to -5 C",2,206,191,15,7.28155339805825,195,0
2024-12-13,"2024-25",-7.5,"-10 to -5 C",2,210,206,4,1.9047619047619,211,1
2024-12-14,"2024-25",-6.1,"-10 to -5 C",2,205,183,22,10.7317073170732,187,0
2024-12-20,"2024-25",-6.9,"-10 to -5 C",2,222,161,61,27.4774774774775,165,0
2024-12-21,"2024-25",-15.9,"Below -15 C",2,279,205,74,26.5232974910394,210,0
2024-12-22,"2024-25",-16.2,"Below -15 C",2,234,221,13,5.55555555555556,226,0
2025-01-04,"2024-25",-5.8,"-10 to -5 C",2,207,180,27,13.0434782608696,184,0
2025-01-05,"2024-25",-5.1,"-10 to -5 C",2,215,206,9,4.18604651162791,211,0
2025-01-06,"2024-25",-8.6,"-10 to -5 C",2,235,229,6,2.5531914893617,234,0
2025-01-07,"2024-25",-7.8,"-10 to -5 C",2,318,259,59,18.5534591194969,265,0
2025-01-08,"2024-25",-11.8,"-15 to -10 C",2,253,246,7,2.76679841897233,252,0
2025-01-09,"2024-25",-11,"-15 to -10 C",2,242,232,10,4.13223140495868,237,0
2025-01-10,"2024-25",-9.1,"-10 to -5 C",2,242,241,1,0.413223140495868,246,4
2025-01-13,"2024-25",-6.7,"-10 to -5 C",2,241,238,3,1.2448132780083,243,2
2025-01-14,"2024-25",-7.3,"-10 to -5 C",2,241,240,1,0.4149377593361,245,4
2025-01-15,"2024-25",-8,"-10 to -5 C",2,240,233,7,2.91666666666667,238,0
2025-01-18,"2024-25",-6.6,"-10 to -5 C",2,292,258,34,11.6438356164384,264,0
2025-01-19,"2024-25",-10.9,"-15 to -10 C",2,302,281,21,6.95364238410596,287,0
2025-01-20,"2024-25",-13.2,"-15 to -10 C",2,332,314,18,5.42168674698795,321,0
2025-01-21,"2024-25",-15.6,"Below -15 C",2,331,324,7,2.11480362537764,331,0
2025-01-22,"2024-25",-15.9,"Below -15 C",2,351,346,5,1.42450142450142,354,3
2025-01-23,"2024-25",-7.3,"-10 to -5 C",2,354,348,6,1.69491525423729,356,2
2025-01-24,"2024-25",-8.3,"-10 to -5 C",2,353,349,4,1.13314447592068,357,4
2025-01-25,"2024-25",-7.1,"-10 to -5 C",2,328,320,8,2.4390243902439,327,0
2025-01-28,"2024-25",-10.2,"-15 to -10 C",2,273,270,3,1.0989010989011,276,3
2025-01-29,"2024-25",-8.6,"-10 to -5 C",2,272,270,2,0.735294117647059,276,4
2025-01-30,"2024-25",-8.3,"-10 to -5 C",2,272,263,9,3.30882352941176,269,0
2025-01-31,"2024-25",-10.9,"-15 to -10 C",2,272,265,7,2.57352941176471,271,0
2025-02-01,"2024-25",-12,"-15 to -10 C",2,272,266,6,2.20588235294118,272,0
2025-02-02,"2024-25",-7.5,"-10 to -5 C",2,272,268,4,1.47058823529412,274,2
2025-02-04,"2024-25",-8,"-10 to -5 C",2,272,265,7,2.57352941176471,271,0
2025-02-05,"2024-25",-7.7,"-10 to -5 C",2,272,261,11,4.04411764705882,267,0
2025-02-07,"2024-25",-6.7,"-10 to -5 C",2,272,253,19,6.98529411764706,259,0
2025-02-08,"2024-25",-6.3,"-10 to -5 C",2,272,253,19,6.98529411764706,259,0
2025-02-10,"2024-25",-7.7,"-10 to -5 C",2,272,255,17,6.25,261,0
2025-02-11,"2024-25",-7.9,"-10 to -5 C",2,272,258,14,5.14705882352941,264,0
2025-02-12,"2024-25",-8.2,"-10 to -5 C",2,272,257,15,5.51470588235294,263,0
2025-02-13,"2024-25",-5.5,"-10 to -5 C",2,272,254,18,6.61764705882353,260,0
2025-02-14,"2024-25",-6.7,"-10 to -5 C",2,275,257,18,6.54545454545455,263,0
2025-02-16,"2024-25",-8.7,"-10 to -5 C",2,330,317,13,3.93939393939394,324,0
2025-02-17,"2024-25",-12.2,"-15 to -10 C",2,330,325,5,1.51515151515152,332,2
