date,key,label,ind,occ,unocc,cap,cap_funding,rate,col_type,indent,is_total
2026-09-01,all_shelter,"All Shelter Programs, Total",7508,,,,,,summary,0,True
2026-09-01,room_based,"Shelter Programs, Room-Based, Total",1894,,,,,,summary,1,True
2026-09-01,singles_sector,"Singles Sector Programs, Total",5614,,,,,,summary,1,True
2026-09-01,singles_shelter,"  Shelter Programs, Singles, Total",3233,3233,135,3368,3490,96.0,summary,2,False
2026-09-01,allied_summ,"  Allied Services, Total",359,359,9,368,368,97.6,summary,2,False
2026-09-01,temp_summ,"  Temporary Programs, Total",2022,,,,,,summary,2,False
2026-09-01,iso_summ,Temporary Isolation/Recovery Programs,0,0,0,0,0,,summary,1,False
2026-09-01,fam_total,"Family Sector, Total",1503,482,6,488,586,98.8,room,0,True
2026-09-01,fam_emerg,"Families, Emergency Shelter Programs",672,225,3,228,249,98.7,room,1,False
2026-09-01,fam_trans_r,"Families, Transitional Shelter Programs",334,118,2,120,119,98.3,room,1,False
2026-09-01,fam_hotel,"Families, Motel/Hotel Programs",497,139,1,140,218,99.3,room,1,False
2026-09-01,sng_hotel,"Single Sector Motel/Hotel, Total",391,186,1,187,258,99.5,room,0,True
2026-09-01,singles_total,"Singles Sectors, Total",3233,3233,135,3368,3490,96.0,bed,0,True
2026-09-01,emerg_total,"Emergency Shelter Programs, Total",2462,2462,73,2535,2645,97.1,bed,1,True
2026-09-01,mix_emerg,"Mixed Adult, Emergency",519,519,6,525,537,98.9,bed,2,False
2026-09-01,men_emerg,"Men, Emergency",1023,1023,53,1076,1166,95.1,bed,2,False
2026-09-01,wom_emerg,"Women, Emergency",484,484,1,485,492,99.8,bed,2,False
2026-09-01,yth_emerg,"Youth, Emergency",436,436,13,449,450,97.1,bed,2,False
2026-09-01,trans_total,"Transitional Shelter Programs, Total",771,771,62,833,845,92.6,bed,1,True
2026-09-01,mix_trans,"Mixed Adult, Transitional",214,214,5,219,219,97.7,bed,2,False
2026-09-01,fam_trans_b,"Families, Transitional",7,7,14,21,22,33.3,bed,2,False
2026-09-01,men_trans,"Men, Transitional",166,166,16,182,185,91.2,bed,2,False
2026-09-01,wom_trans,"Women, Transitional",118,118,4,122,128,96.7,bed,2,False
2026-09-01,yth_trans,"Youth, Transitional",266,266,23,289,291,92.0,bed,2,False
